Church,District Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Mutiweshiri - Anderson (mutiweshiri),Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikurumadziwa,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinyowa,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dowa- Anderson,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dzvova,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mabvumira,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makarara,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marumbi,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mashayamvura,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matanganyidze,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukamba- Anderson,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruzane,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedza - Chamarima,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedza - Ruzawe,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zviyambe,Anderson Mutiwereshiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcadia,Arcadia-Boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harare Boulder,Arcadia-Boulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhidhiri,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buhera - Muchechetere,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bungu,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinhoro,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinhuwo,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chizhou,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorowa,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorowa East,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garakata,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gosho,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hande,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwayedza,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madende,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mambo Central,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mambo East,Buhera North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
